Grid_ID,Longitude,Latitude,Species_N_All,Species_N_Inf,So_Pi,Df_Pi,Co_Pi,Sk_Pi,Um_Pi,Ra_Pi,Cp_Pi,Pa_Pi,Ck_Pi
646,115.6181667,40.83831715,977,860,0.103488372,0.196511628,0.053488372,0.098837209,0.084883721,0.197674419,0.15,0.095348837,0.019767442
647,113.6231411,24.88280762,3132,2720,0.137132353,0.234558824,0.04375,0.105147059,0.086029412,0.212132353,0.075,0.104044118,0.002205882
648,127.1111162,50.54445743,3,3,0.333333333,0,0,0.666666667,0,0,0,0,0
649,96.36679832,34.00820715,355,314,0.140127389,0.082802548,0.057324841,0.162420382,0.050955414,0.165605096,0.210191083,0.124203822,0.006369427
650,116.3577694,35.484469,173,152,0.098684211,0.296052632,0.059210526,0.098684211,0.059210526,0.190789474,0.098684211,0.098684211,0
651,127.8214568,46.09525094,21,20,0.1,0.15,0.1,0.1,0.05,0.15,0.05,0.25,0.05
652,90.03652197,45.81478356,243,212,0.113207547,0.141509434,0.04245283,0.089622642,0.089622642,0.216981132,0.188679245,0.113207547,0.004716981
653,133.4478904,47.11857441,29,27,0.259259259,0.074074074,0.037037037,0.074074074,0,0.259259259,0.074074074,0.185185185,0.037037037
654,95.39065563,43.69330155,17,16,0.0625,0.0625,0,0.3125,0.125,0.375,0,0.0625,0
655,121.1644975,29.75753281,927,804,0.125621891,0.222636816,0.05721393,0.123134328,0.069651741,0.221393035,0.069651741,0.104477612,0.006218905
656,102.6350132,38.09092056,103,94,0.106382979,0.127659574,0.042553191,0.180851064,0.063829787,0.170212766,0.159574468,0.127659574,0.021276596
657,119.5637911,43.29137389,352,309,0.087378641,0.181229773,0.029126214,0.122977346,0.048543689,0.174757282,0.210355987,0.110032362,0.035598706
658,92.87228919,39.85677213,93,85,0.094117647,0.047058824,0.058823529,0.141176471,0.058823529,0.211764706,0.223529412,0.164705882,0
659,89.5732797,43.00896096,474,406,0.162561576,0.142857143,0.051724138,0.15270936,0.083743842,0.18226601,0.096059113,0.103448276,0.024630542
660,96.6618669,32.25072571,961,841,0.137931034,0.12960761,0.046373365,0.133174792,0.098692033,0.174791914,0.161712247,0.109393579,0.008323424
661,105.0123607,37.31795603,163,137,0.131386861,0.167883212,0.051094891,0.160583942,0.02919708,0.182481752,0.131386861,0.094890511,0.051094891
662,119.2906652,31.73955343,1689,1461,0.128678987,0.208761123,0.049281314,0.110198494,0.086926762,0.206023272,0.093086927,0.104722793,0.012320329
663,95.5954032,32.12705966,59,56,0.125,0.071428571,0.071428571,0.089285714,0.107142857,0.214285714,0.142857143,0.178571429,0
664,93.85276052,40.87805169,30,25,0.04,0.16,0.04,0.08,0.08,0.24,0.16,0.2,0
665,120.1271143,29.87195971,2347,2002,0.127872128,0.202297702,0.057442557,0.117382617,0.083916084,0.214285714,0.089410589,0.0999001,0.007492507
666,88.46442567,30.12993102,18,18,0.055555556,0,0.111111111,0.111111111,0.055555556,0.111111111,0.277777778,0.277777778,0
667,127.7488305,41.69320614,121,108,0.12962963,0.212962963,0.074074074,0.101851852,0.064814815,0.222222222,0.12962963,0.055555556,0.009259259
668,102.819392,23.79843186,1552,1316,0.126899696,0.247720365,0.050911854,0.106382979,0.077507599,0.223404255,0.070668693,0.091945289,0.004559271
669,112.9257601,33.83920387,1100,963,0.102803738,0.206645898,0.061266874,0.101765317,0.094496366,0.212876428,0.082035306,0.118380062,0.01973001
670,79.23999767,34.53600297,86,75,0.093333333,0.026666667,0.146666667,0.133333333,0.026666667,0.24,0.186666667,0.133333333,0.013333333
671,86.49284558,37.04361421,22,19,0.105263158,0,0.105263158,0,0.052631579,0.263157895,0.421052632,0.052631579,0
672,85.38281565,36.83130491,10,8,0.125,0,0.125,0,0.125,0.25,0.25,0.125,0
673,99.73954659,42.24932953,68,60,0.15,0.2,0.066666667,0.116666667,0.016666667,0.183333333,0.183333333,0.083333333,0
674,121.8394625,49.44557942,142,124,0.10483871,0.14516129,0.032258065,0.14516129,0.096774194,0.233870968,0.161290323,0.072580645,0.008064516
675,110.2901209,20.525768,952,837,0.123058542,0.240143369,0.027479092,0.097968937,0.044205496,0.240143369,0.096774194,0.130227001,0
676,95.11312002,34.7580567,59,50,0.14,0.08,0.06,0.06,0.18,0.24,0.14,0.1,0
677,111.6284322,24.02660407,1021,898,0.153674833,0.250556793,0.040089087,0.094654788,0.081291759,0.18596882,0.085746102,0.108017817,0
678,116.6511019,25.64375395,1271,1123,0.144256456,0.207479964,0.031166518,0.103294746,0.074799644,0.216384684,0.10507569,0.110418522,0.007123776
679,73.7756599,39.33249068,63,56,0.160714286,0.035714286,0,0.053571429,0,0.339285714,0.232142857,0.107142857,0.071428571
680,84.39091498,46.64127753,25,21,0.142857143,0.142857143,0,0.047619048,0.333333333,0.238095238,0.047619048,0.047619048,0
681,97.44037524,41.26131354,14,10,0.1,0.2,0.1,0.1,0,0.3,0.2,0,0
682,93.30961851,27.33338107,233,202,0.158415842,0.113861386,0.03960396,0.03960396,0.178217822,0.207920792,0.232673267,0.024752475,0.004950495
683,92.12849464,37.95904734,37,33,0.212121212,0.060606061,0.060606061,0.212121212,0.03030303,0.090909091,0.181818182,0.151515152,0
684,100.7549845,34.41568352,686,598,0.123745819,0.12541806,0.035117057,0.147157191,0.081939799,0.202341137,0.172240803,0.096989967,0.015050167
685,109.5964851,40.06861254,153,137,0.087591241,0.175182482,0.03649635,0.116788321,0.051094891,0.248175182,0.153284672,0.094890511,0.03649635
686,100.9610069,22.74538294,2403,2062,0.112027158,0.220174588,0.035887488,0.105722599,0.081474297,0.257516974,0.070805044,0.11542192,0.000969932
687,97.96909522,24.35912391,1142,980,0.119387755,0.256122449,0.039795918,0.121428571,0.063265306,0.206122449,0.070408163,0.119387755,0.004081633
688,87.27237141,34.46025652,4,4,0,0.25,0,0,0,0,0.25,0.5,0
689,115.2370884,35.5361214,107,96,0.083333333,0.197916667,0.010416667,0.1875,0.03125,0.21875,0.072916667,0.197916667,0
