Species,FlowerID,Trait
Sphenodesme involucrata,F19007,D
Sphenodesme mollis,F19008,D
Sphenodesme pentandra,F19009,D
Stachyopsis lamiiflora,F19010,I
Stachyopsis marrubioides,F19011,D
Stachyopsis oblongata,F19012,I
Stachys adulterina,F19013,D
Stachys arrecta,F19014,D
Stachys arvensis,F19015,D
Stachys baicalensis,F19016,I
Stachys chinensis,F19017,D
Stachys geobombycis,F19018,I
Stachys japonica,F19019,I
Stachys kouyangensis,F19020,I
Stachys lanata,F19021,I
Stachys melissifolia,F19022,D
Stachys oblongifolia,F19023,I
Stachys palustris,F19024,I
Stachys pseudophlomis,F19025,I
Stachys sieboldii,F19026,I
Stachys strictiflora,F19027,D
Stachys sylvatica,F19028,I
Stachys taliensis,F19029,I
Stachys xanthantha,F19030,D
Suzukia luchuensis,F19031,D
Suzukia shikikunensis,F19032,I
Symphorema involucratum,F19033,D
Tectona grandis,F19034,I
Teucrium anlungense,F19036,I
Teucrium bidentatum,F19038,I
Teucrium chowii,F19039,I
Teucrium japonicum,F19041,I
Teucrium labiosum,F19042,I
Teucrium manghuaense,F19043,D
Teucrium nanum,F19044,I
Teucrium omeiense,F19045,I
Teucrium ornatum,F19046,I
Teucrium pernyi,F19047,I
Teucrium pilosum,F19048,I
Teucrium qingyuanense,F19049,I
Teucrium quadrifarium,F19050,I
Teucrium scordioides,F19051,D
Teucrium scordium,F19052,D
Teucrium simplex,F19053,I
Teucrium tsinlingense,F19055,D
Teucrium ussuriense,F19056,I
Teucrium veronicoides,F19057,I
Teucrium viscidum,F19058,I
Thymus altaicus,F19059,I
Thymus amurensis,F19060,I
Thymus curtus,F19061,I
Thymus disjunctus,F19063,I
Thymus inaequalis,F19064,I
Thymus mandschuricus,F19065,I
Thymus marschallianus,F19066,I
Thymus nervulosus,F19068,I
Thymus proximus,F19069,I
Thymus quinquecostatus,F19070,I
Tripora divaricata,F19071,D
Vitex agnus-castus,F19072,D
Vitex axillariflora,F19073,D
Vitex burmensis,F19074,D
Vitex canescens,F19075,I
Vitex duclouxii,F19076,D
Vitex kwangsiensis,F19077,D
Vitex peduncularis,F19079,I
Vitex pierreana,F19080,I
Vitex quinata,F19081,D
Vitex sampsonii,F19083,D
Vitex trifolia,F19084,I
Vitex tripinnata,F19085,D
Vitex vestita,F19086,D
Vitex yunnanensis,F19087,D
Volkameria inermis,F19088,D
Vuhuangia flava,F19089,I
Vuhuangia penduliflora,F19090,I
Wenchengia alternifolia,F19091,I
Ziziphora bungeana,F19092,I
Ziziphora pamiroalaica,F19094,I
Ziziphora tenuior,F19095,I
Ziziphora tomentosa,F19096,I
Pinguicula alpina,F19097,D
Utricularia gibba,F19106,I
Lindernia anagallis,F19129,D
Lindernia antipoda,F19130,I
Lindernia brevipedunculata,F19131,I
Lindernia ciliata,F19132,I
Lindernia crustacea,F19133,D
Lindernia cyrtotricha,F19134,I
Lindernia delicatula,F19135,D
Lindernia dictyophora,F19136,I
Lindernia dubia,F19137,D
Lindernia elata,F19138,I
Lindernia hyssopoides,F19139,D
Lindernia kiangsiensis,F19141,I
Lindernia macrobotrys,F19142,I
Lindernia megaphylla,F19143,I
Lindernia micrantha,F19144,D
Lindernia mollis,F19145,I
Lindernia nummulariifolia,F19146,I
Lindernia oblonga,F19147,I
Lindernia procumbens,F19148,D
Lindernia pusilla,F19149,I
Lindernia ruellioides,F19151,I
Lindernia scutellariiformis,F19152,I
Lindernia setulosa,F19153,D
Lindernia stricta,F19154,D
Lindernia viscosa,F19156,I
Lindernia yaoshanensis,F19157,D
Picria felterrae,F19158,I
Torenia asiatica,F19159,D
Torenia benthamiana,F19160,I
Torenia biniflora,F19161,I
Torenia concolor,F19162,I
Torenia cordifolia,F19163,I
Torenia flava,F19164,I
Torenia fordii,F19165,I
Torenia fournieri,F19166,I
Torenia parviflora,F19168,I
Torenia taishanensis,F19169,D
Torenia violacea,F19170,I
Martynia annua,F19171,I
Dodartia orientalis,F19172,I
Lancea hirsuta,F19173,I
Lancea tibetica,F19174,I
Mazus alpinus,F19175,I
Mazus caducifer,F19177,I
Mazus celsioides,F19178,I
Mazus fauriei,F19180,I
Mazus fukienensis,F19182,I
Mazus gracilis,F19183,I
Mazus henryi,F19184,I
Mazus humilis,F19185,I
Mazus kweichowensis,F19187,I
Mazus lecomtei,F19188,I
Mazus longipes,F19189,I
Mazus miquelii,F19190,I
Mazus oliganthus,F19191,I
Mazus omeiensis,F19192,I
Mazus procumbens,F19193,I
Mazus pulchellus,F19194,I
Mazus pumilus,F19195,I
Mazus rockii,F19196,I
Mazus saltuarius,F19197,I
Mazus solanifolius,F19198,I
Mazus spicatus,F19200,I
Mazus stachydifolius,F19201,I
Mazus surculosus,F19203,I
Mazus tainanensis,F19204,I
Mazus wanmuliensis,F19205,I
Chengiodendron marginatum,F19208,D
Chengiodendron matsumuranum,F19209,D
Chengiodendron minor,F19210,I
Chionanthus brachythyrsus,F19211,I
Chionanthus guangxiensis,F19213,I
Chionanthus hainanensis,F19214,I
Chionanthus henryanus,F19215,I
Chionanthus longiflorus,F19216,I
Chionanthus ramiflorus,F19217,I
Chionanthus retusus,F19218,D
Chionanthus verruculatus,F19219,I
Chrysojasminum floridum,F19220,D
Chrysojasminum humile,F19221,D
Chrysojasminum subhumile,F19223,D
Forsythia likiangensis,F19227,D
Forsythia mandschurica,F19228,D
Forsythia mira,F19229,D
Forsythia suspensa,F19230,D
Fraxinus americana,F19232,I
Fraxinus baroniana,F19233,I
Fraxinus bungeana,F19234,I
Fraxinus chinensis,F19235,I
Fraxinus depauperata,F19236,I
Fraxinus ferruginea,F19237,I
Fraxinus floribunda,F19238,I
Fraxinus griffithii,F19239,I
Fraxinus insularis,F19241,I
Fraxinus malacophylla,F19242,I
Fraxinus mandshurica,F19243,I
Fraxinus odontocalyx,F19245,I
Fraxinus paxiana,F19247,I
Fraxinus pennsylvanica,F19248,I
Fraxinus platypoda,F19249,D
Fraxinus punctata,F19250,I
Fraxinus retusifoliolata,F19251,I
Fraxinus sieboldiana,F19252,I
Fraxinus sikkimensis,F19253,I
Fraxinus stylosa,F19255,I
Fraxinus trifoliolata,F19256,I
Fraxinus velutina,F19257,I
Fraxinus xanthoxyloides,F19258,D
Jasminum albicalyx,F19259,D
Jasminum attenuatum,F19260,D
Jasminum beesianum,F19261,D
Jasminum cinnamomifolium,F19263,D
Jasminum coffeinum,F19264,I
Jasminum craibianum,F19265,D
Jasminum dispermum,F19266,D
Jasminum duclouxii,F19267,D
Jasminum elongatum,F19268,D
Jasminum flexile,F19269,D
Jasminum fuchsiifolium,F19271,D
Jasminum grandiflorum,F19272,D
Jasminum guangxiense,F19273,D
Jasminum hongshuihoense,F19275,D
Jasminum lanceolaria,F19276,D
Jasminum lang,F19277,I
Jasminum laurifolium,F19278,D
Jasminum longitubum,F19279,D
Jasminum mesnyi,F19280,D
Jasminum microcalyx,F19281,D
Jasminum multiflorum,F19282,D
Jasminum nervosum,F19283,D
Jasminum nintooides,F19284,D
Jasminum nudiflorum,F19285,D
Jasminum officinale,F19286,D
Jasminum parceflorum,F19287,D
Jasminum pentaneurum,F19288,D
Jasminum pierreanum,F19289,D
Jasminum polyanthum,F19290,I
Jasminum prainii,F19291,I
Jasminum rehderianum,F19292,D
Jasminum rufohirtum,F19293,D
Jasminum sambac,F19294,D
Jasminum seguinii,F19295,D
Jasminum sinense,F19296,D
Jasminum subglandulosum,F19297,D
Jasminum tonkinense,F19298,D
Jasminum urophyllum,F19299,D
Jasminum wengeri,F19300,D
Jasminum yuanjiangense,F19301,D
Jasminum × stephanense,F19302,D
Ligustrum angustum,F19303,I
Ligustrum compactum,F19304,I
Ligustrum confusum,F19305,I
Ligustrum delavayanum,F19306,I
Ligustrum expansum,F19307,I
Ligustrum gracile,F19309,I
Ligustrum henryi,F19311,I
Ligustrum japonicum,F19312,I
Ligustrum leucanthum,F19313,I
Ligustrum lianum,F19314,I
Ligustrum lucidum,F19315,I
Ligustrum morrisonense,F19316,D
Ligustrum obtusifolium,F19319,I
Ligustrum pricei,F19320,D
Ligustrum punctifolium,F19321,I
Ligustrum quihoui,F19322,I
Ligustrum retusum,F19323,I
Ligustrum sempervirens,F19324,I
Ligustrum sinense,F19325,I
Ligustrum strongylophyllum,F19326,I
Ligustrum tenuipes,F19327,I
Myxopyrum pierrei,F19328,I
Myxopyrum smilacifolium,F19329,I
Olea brachiata,F19330,I
Olea caudatilimba,F19331,I
Olea europaea,F19332,I
Olea guangxiensis,F19333,I
Olea hainanensis,F19334,I
Olea laxiflora,F19335,I
Olea neriifolia,F19336,I
Olea paniculata,F19337,I
Olea parvilimba,F19338,I
Olea rosea,F19339,I
Olea salicifolia,F19340,I
Olea tetragonoclada,F19341,I
Olea tsoongii,F19342,I
Osmanthus armatus,F19343,D
Osmanthus attenuatus,F19344,D
Osmanthus austrozhejiangensis,F19345,D
Osmanthus cooperi,F19346,D
Osmanthus delavayi,F19347,D
Osmanthus didymopetalus,F19348,D
Osmanthus enervius,F19349,D
Osmanthus fordii,F19350,D
Osmanthus fragrans,F19351,D
Osmanthus gracilinervis,F19352,D
Osmanthus hainanensis,F19353,D
Osmanthus henryi,F19354,D
Osmanthus heterophyllus,F19355,D
Osmanthus lanceolatus,F19357,D
Osmanthus pubipedicellatus,F19359,D
Osmanthus reticulatus,F19360,D
Osmanthus serrulatus,F19361,D
Osmanthus suavis,F19362,D
Osmanthus urceolatus,F19363,D
Osmanthus venosus,F19364,D
Osmanthus yunnanensis,F19365,D
Syringa komarowii,F19366,I
Syringa meyeri,F19367,I
Syringa oblata,F19368,I
Syringa pinetorum,F19369,I
Syringa pinnatifolia,F19370,I
Syringa protolaciniata,F19371,I
Syringa pubescens,F19372,I
Syringa reticulata,F19373,I
Syringa sweginzowii,F19374,I
Syringa tibetica,F19375,I
Syringa tomentella,F19376,I
Syringa villosa,F19377,I
Syringa yunnanensis,F19378,I
Syringa × chinensis,F19379,I
Syringa × persica,F19380,I
Aeginetia acaulis,F19381,I
Aeginetia indica,F19382,D
Aeginetia sinensis,F19383,D
Alectra arvensis,F19384,I
Boschniakia rossica,F19385,I
Brandisia cauliflora,F19386,I
Brandisia discolor,F19387,D
Brandisia glabrescens,F19388,D
Brandisia hancei,F19389,D
Brandisia kwangsiensis,F19390,D
Brandisia racemosa,F19391,I
Brandisia rosea,F19392,I
Brandisia swinglei,F19393,D
Buchnera cruciata,F19394,I
Castilleja pallida,F19395,I
Cistanche deserticola,F19402,I
Cistanche lanzhouensis,F19403,I
Cistanche mongolica,F19404,I
Cistanche salsa,F19405,I
Cistanche sinensis,F19406,I
Cistanche tubulosa,F19407,I
Cymbaria daurica,F19408,I
Euphrasia amurensis,F19410,I
Euphrasia brevilabris,F19411,I
Euphrasia durietziana,F19412,I
Euphrasia hirtella,F19413,I
Euphrasia jaeschkei,F19414,I
Euphrasia matsudae,F19415,I
Euphrasia nankotaizanensis,F19416,I
Euphrasia pumilio,F19418,I
Euphrasia regelii,F19419,I
Euphrasia tarokoana,F19420,I
Euphrasia transmorrisonensis,F19421,I
Gleadovia mupinense,F19423,I
Gleadovia ruborum,F19424,I
Lathraea japonica,F19425,I
Leptorhabdos parviflora,F19426,I
Lindenbergia grandiflora,F19428,I
Lindenbergia muraria,F19430,I
Lindenbergia philippensis,F19431,I
Mannagettaea hummelii,F19432,I
Mannagettaea labiata,F19433,I
Monochasma savatieri,F19439,I
Monochasma sheareri,F19440,I
Odontites vulgaris,F19441,I
Omphalotrix longipes,F19442,I
Orobanche alba,F19443,I
Orobanche alsatica,F19444,I
Orobanche amoena,F19445,I
Orobanche caryophyllacea,F19446,I
Orobanche cernua,F19447,I
Orobanche clarkei,F19448,I
Orobanche coerulescens,F19449,I
Orobanche elatior,F19450,I
Orobanche kotschyi,F19451,I
Orobanche krylowii,F19452,I
Orobanche megalantha,F19453,I
Orobanche mupinensis,F19454,I
Orobanche ombrochares,F19455,I
Orobanche pycnostachya,F19456,I
Orobanche sinensis,F19457,I
Orobanche solmsii,F19458,I
Orobanche sordida,F19459,I
Pedicularis abrotanifolia,F19461,I
Pedicularis alaschanica,F19463,I
Pedicularis alopecuros,F19466,I
Pedicularis anas,F19470,I
Pedicularis angularis,F19471,I
Pedicularis angustilabris,F19472,I
Pedicularis anthemifolia,F19475,I
Pedicularis binaria,F19489,I
Pedicularis bomiensis,F19490,I
Pedicularis brachycrania,F19491,I
Pedicularis breviflora,F19492,I
Pedicularis brevilabris,F19493,I
Pedicularis cernua,F19495,I
Pedicularis cheilanthifolia,F19496,I
Pedicularis chengxianensis,F19497,D
Pedicularis cinerascens,F19504,I
Pedicularis comptoniifolia,F19507,I
Pedicularis confluens,F19509,I
Pedicularis conifera,F19510,I
Pedicularis corydaloides,F19512,I
Pedicularis corymbifera,F19513,I
Pedicularis craspedotricha,F19515,I
Pedicularis crenularis,F19517,I
Pedicularis cristatella,F19518,I
Pedicularis cryptantha,F19520,I
Pedicularis curvituba,F19521,I
Pedicularis cyathophylla,F19522,I
Pedicularis cyclorhyncha,F19524,I
Pedicularis daltonii,F19526,I
Pedicularis daucifolia,F19529,I
Pedicularis davidii,F19530,I
Pedicularis decora,F19532,I
Pedicularis delavayi,F19534,D
Pedicularis deltoidea,F19535,I
Pedicularis densispica,F19536,I
Pedicularis deqinensis,F19537,I
Pedicularis dichotoma,F19538,I
Pedicularis dichrocephala,F19539,I
Pedicularis dissecta,F19542,I
Pedicularis dolichocymba,F19545,I
Pedicularis dolichorrhiza,F19547,I
Pedicularis duclouxii,F19549,I
Pedicularis elata,F19552,I
Pedicularis elwesii,F19555,I
Pedicularis excelsa,F19556,I
Pedicularis fengii,F19559,I
Pedicularis fetisowii,F19560,I
Pedicularis filiculiformis,F19563,I
Pedicularis flaccida,F19564,I
Pedicularis flava,F19565,I
Pedicularis fletcheri,F19566,I
Pedicularis forrestiana,F19569,I
Pedicularis furfuracea,F19572,I
Pedicularis gagnepainiana,F19573,D
Pedicularis galeata,F19574,I
Pedicularis ganpinensis,F19575,I
Pedicularis garckeana,F19576,I
Pedicularis geosiphon,F19578,D
Pedicularis giraldiana,F19579,I
Pedicularis glabrescens,F19580,I
Pedicularis globifera,F19581,I
Pedicularis gracilis,F19584,I
Pedicularis gruina,F19587,I
Pedicularis gyirongensis,F19588,I
Pedicularis gyrorhyncha,F19589,I
Pedicularis hemsleyana,F19591,I
Pedicularis henryi,F19592,I
Pedicularis hirtella,F19593,I
Pedicularis holocalyx,F19594,I
Pedicularis honanensis,F19595,I
Pedicularis ikomai,F19599,I
Pedicularis infirma,F19601,I
Pedicularis insignis,F19604,I
Pedicularis integrifolia,F19605,I
Pedicularis kangtingensis,F19606,I
Pedicularis kawaguchii,F19610,I
Pedicularis kialensis,F19612,I
Pedicularis kiangsiensis,F19613,I
Pedicularis koueytchensis,F19615,I
Pedicularis labradorica,F19618,I
Pedicularis lachnoglossa,F19619,I
Pedicularis lamioides,F19620,I
Pedicularis lasiophrys,F19622,I
Pedicularis latirostris,F19624,I
Pedicularis laxispica,F19627,I
Pedicularis lecomtei,F19628,I
Pedicularis likiangensis,F19633,I
Pedicularis lineata,F19635,I
Pedicularis lingelsheimiana,F19636,I
Pedicularis longistipitata,F19643,I
Pedicularis lophotricha,F19644,I
Pedicularis ludwigii,F19645,I
Pedicularis lunglingensis,F19646,D
Pedicularis lutescens,F19647,I
Pedicularis lyrata,F19648,I
Pedicularis macilenta,F19649,I
Pedicularis macrorhyncha,F19650,I
Pedicularis mairei,F19652,I
Pedicularis mandshurica,F19653,I
Pedicularis mariae,F19654,I
Pedicularis maxonii,F19656,I
Pedicularis metaszetschuanica,F19663,I
Pedicularis meteororhyncha,F19664,I
Pedicularis micrantha,F19665,I
Pedicularis microcalyx,F19666,I
Pedicularis monbeigiana,F19672,I
Pedicularis myriophylla,F19679,I
Pedicularis nigra,F19682,I
Pedicularis nyalamensis,F19684,I
Pedicularis obscura,F19686,I
Pedicularis odontochila,F19687,I
Pedicularis oxycarpa,F19695,I
Pedicularis palustris,F19697,I
Pedicularis pantlingii,F19699,I
Pedicularis pectinatiformis,F19701,I
Pedicularis pentagona,F19702,I
Pedicularis petelotii,F19703,D
Pedicularis petitmenginii,F19704,I
Pedicularis pheulpinii,F19706,I
Pedicularis pilostachya,F19708,I
Pedicularis pinetorum,F19709,I
Pedicularis plicata,F19710,I
Pedicularis polyodonta,F19712,I
Pedicularis princeps,F19716,I
Pedicularis pseudocephalantha,F19719,I
Pedicularis pseudocurvituba,F19720,I
Pedicularis pseudomelampyriflora,F19722,I
Pedicularis pseudoversicolor,F19725,I
Pedicularis pteridifolia,F19726,I
Pedicularis reptans,F19733,D
Pedicularis resupinata,F19734,I
Pedicularis retingensis,F19735,I
Pedicularis rex,F19736,I
Pedicularis rhinanthoides,F19737,I
Pedicularis rhizomatosa,F19738,I
Pedicularis rhodotricha,F19739,I
Pedicularis rigida,F19742,I
Pedicularis rigidiformis,F19744,I
Pedicularis rizhaoensis,F19745,I
Pedicularis robusta,F19747,I
Pedicularis roylei,F19749,I
Pedicularis rubens,F19750,I
Pedicularis rudis,F19751,I
Pedicularis rupicola,F19753,I
Pedicularis salicifolia,F19754,I
Pedicularis schizorrhyncha,F19757,I
Pedicularis scolopax,F19758,I
Pedicularis semitorta,F19760,I
Pedicularis sima,F19764,I
Pedicularis smithiana,F19766,I
Pedicularis songarica,F19767,I
Pedicularis souliei,F19769,I
Pedicularis spicata,F19772,I
Pedicularis stenocorys,F19775,I
Pedicularis stewardii,F19777,I
Pedicularis striata,F19779,I
Pedicularis strobilacea,F19780,I
Pedicularis stylosa,F19781,I
Pedicularis superba,F19784,I
Pedicularis szetschuanica,F19785,I
Pedicularis takpoensis,F19788,I
Pedicularis taliensis,F19789,D
Pedicularis tantalorhyncha,F19790,I
Pedicularis tapaoensis,F19791,D
Pedicularis tatarinowii,F19792,I
Pedicularis tenuisecta,F19798,I
Pedicularis ternata,F19800,I
Pedicularis thamnophila,F19801,I
Pedicularis tibetica,F19802,I
Pedicularis tomentosa,F19803,I
Pedicularis tongolensis,F19804,I
Pedicularis torta,F19805,I
Pedicularis transmorrisonensis,F19806,I
Pedicularis triangularidens,F19807,I
Pedicularis trichocymba,F19808,I
Pedicularis trichoglossa,F19809,I
Pedicularis trichomata,F19810,I
Pedicularis tricolor,F19811,I
Pedicularis tristis,F19812,I
Pedicularis tsaii,F19813,I
Pedicularis tsangchanensis,F19814,I
Pedicularis tsekouensis,F19816,I
Pedicularis tsiangii,F19817,I
Pedicularis uliginosa,F19818,I
Pedicularis umbelliformis,F19819,I
Pedicularis venusta,F19823,I
Pedicularis verbenifolia,F19824,I
Pedicularis veronicifolia,F19825,I
Pedicularis verticillata,F19826,I
Pedicularis vialii,F19827,I
Pedicularis wallichii,F19829,I
Pedicularis wardii,F19831,D
Pedicularis weixiensis,F19832,I
Pedicularis wilsonii,F19833,D
Pedicularis xiangchengensis,F19834,I
Pedicularis yui,F19838,I
Pedicularis zayuensis,F19840,I
Phacellanthus tubiflorus,F19843,D
Phelipanche lanuginosa,F19848,I
Phelipanche mongolica,F19849,I
Phtheirospermum tenuisectum,F19854,D
Pseudobartsia glandulosa,F19855,I
Pterygiella cylindrica,F19856,I
Pterygiella duclouxii,F19857,I
Pterygiella luzhijiangensis,F19858,I
Pterygiella nigrescens,F19859,I
Pterygiella trichosepala,F19861,I
Rehmannia chingii,F19862,D
Rehmannia glutinosa,F19864,I
Rehmannia henryi,F19865,D
Rehmannia piasezkii,F19866,D
Rehmannia solanifolia,F19867,D
Siphonostegia chinensis,F19869,I
Sopubia matsumurae,F19871,I
Sopubia trifida,F19874,I
Striga angustifolia,F19875,I
Striga asiatica,F19876,I
Striga densiflora,F19878,I
Striga masuria,F19879,D
Triaenophora integra,F19880,I
Triaenophora shennongjiaensis,F19882,I
Triphysaria chinensis,F19883,I
Xizangia bartschioides,F19884,I
Xylanche himalaica,F19885,I
Paulownia catalpifolia,F19886,D
Paulownia elongata,F19887,D
Paulownia fargesii,F19888,D
Paulownia fortunei,F19889,D
Paulownia kawakamii,F19890,D
Paulownia tomentosa,F19891,D
Sesamum indicum,F19893,I
Cyrtandromoea grandiflora,F19894,D
Erythranthe bracteosa,F19898,I
Erythranthe nepalensis,F19899,I
Erythranthe platyphylla,F19900,I
Erythranthe procera,F19901,I
Erythranthe szechuanensis,F19902,D
Erythranthe tenella,F19903,D
Erythranthe tibetica,F19904,D
Mimulicalyx rosulatus,F19907,I
Phryma leptostachya,F19908,I
Adenosma glutinosa,F19909,D
Adenosma indiana,F19910,I
Adenosma javanica,F19911,D
Antirrhinum majus,F19913,I
Bacopa floribunda,F19915,D
Bacopa monnieri,F19916,D
Callitriche fehmedianii,F19918,D
Callitriche fuscicarpa,F19919,D
Callitriche glareosa,F19920,D
Callitriche hermaphroditica,F19921,D
Callitriche japonica,F19922,D
Callitriche palustris,F19923,D
Callitriche peploides,F19924,D
Digitalis purpurea,F19930,I
Dopatrium junceum,F19931,D
Ellisiophyllum pinnatum,F19932,D
Gratiola japonica,F19934,D
Hemiphragma heterophyllum,F19936,D
Hippuris vulgaris,F19938,D
Lagotis alutacea,F19939,I
Lagotis angustibracteata,F19940,I
Lagotis brachystachya,F19941,I
Lagotis brevituba,F19942,I
Lagotis clarkei,F19943,I
Lagotis crassifolia,F19944,I
Lagotis decumbens,F19945,I
Lagotis humilis,F19947,I
Lagotis integra,F19948,I
Lagotis integrifolia,F19949,I
Lagotis kongboensis,F19950,I
Lagotis macrosiphon,F19951,I
Lagotis pharica,F19952,I
Lagotis praecox,F19953,I
Lagotis ramalana,F19954,I
Lagotis wardii,F19955,I
Lagotis yunnanensis,F19956,I
Limnophila aromatica,F19957,I
Limnophila borealis,F19958,D
Limnophila chinensis,F19959,I
Limnophila connata,F19960,I
Limnophila erecta,F19961,D
Limnophila heterophylla,F19962,I
Limnophila indica,F19963,D
Limnophila repens,F19964,I
Limnophila rugosa,F19965,D
Limnophila sessiliflora,F19966,D
Linaria bungei,F19967,I
Linaria buriatica,F19968,I
Linaria japonica,F19972,I
Linaria kulabensis,F19973,I
Linaria thibetica,F19975,I
Linaria vulgaris,F19976,I
Neopicrorhiza scrophulariiflora,F19979,I
Plantago arachnoidea,F19980,I
Plantago aristata,F19981,I
Plantago asiatica,F19982,I
Plantago camtschatica,F19983,I
Plantago cavaleriei,F19984,I
Plantago depressa,F19985,I
Plantago fengdouensis,F19986,I
Plantago indica,F19988,I
Plantago komarovii,F19989,I
Plantago lagocephala,F19990,I
Plantago lanceolata,F19991,I
Plantago major,F19992,I
Plantago maxima,F19993,I
Plantago media,F19994,I
Plantago minuta,F19995,I
Plantago ovata,F19996,I
Plantago perssonii,F19997,I
Plantago polysperma,F19998,I
Plantago salsa,F19999,I
Plantago tenuiflora,F20000,I
Plantago virginica,F20001,I
Pseudolysimachion alatavicum,F20002,I
Pseudolysimachion dauricum,F20003,I
Pseudolysimachion incanum,F20004,I
Pseudolysimachion kiusianum,F20005,I
Pseudolysimachion linariifolium,F20006,I
Pseudolysimachion longifolium,F20007,I
Pseudolysimachion pinnatum,F20008,I
Pseudolysimachion rotundum,F20009,I
Pseudolysimachion spicatum,F20010,I
Pseudolysimachion spurium,F20011,I
Scrofella chinensis,F20013,I
Trapella sinensis,F20015,D
Veronica anagallis-aquatica,F20017,I
Veronica anagalloides,F20018,I
Veronica arguteserrata,F20019,I
Veronica arvensis,F20020,I
Veronica beccabunga,F20021,I
Veronica biloba,F20022,I
Veronica campylopoda,F20023,I
Veronica cana,F20024,I
Veronica capitata,F20025,I
Veronica cardiocarpa,F20026,I
Veronica chamaedrys,F20027,I
Veronica chinoalpina,F20029,I
Veronica ciliata,F20030,I
Veronica deltigera,F20031,I
Veronica densiflora,F20032,I
Veronica eriogyne,F20033,I
Veronica fargesii,F20034,I
Veronica filipes,F20035,I
Veronica forrestii,F20036,I
Veronica henryi,F20038,I
Veronica himalensis,F20039,I
Veronica javanica,F20040,I
Veronica lanosa,F20041,I
Veronica lanuginosa,F20042,I
Veronica laxa,F20043,I
Veronica laxissima,F20044,I
Veronica longipetiolata,F20045,I
Veronica morrisonicola,F20046,I
Veronica oligosperma,F20047,I
Veronica oxycarpa,F20048,I
Veronica peregrina,F20049,I
Veronica persica,F20050,I
Veronica piroliformis,F20051,I
Veronica polita,F20052,I
Veronica pusilla,F20053,I
Veronica riae,F20055,I
Veronica rockii,F20056,I
Veronica rubrifolia,F20057,D
Veronica serpyllifolia,F20058,I
Veronica stelleri,F20059,I
Veronica sutchuenensis,F20060,I
Veronica szechuanica,F20061,I
Veronica taiwanica,F20062,I
Veronica tenuissima,F20063,I
Veronica teucrium,F20064,I
Veronica tibetica,F20065,I
Veronica tsinglingensis,F20066,I
Veronica undulata,F20067,I
Veronica vandellioides,F20068,I
Veronica verna,F20069,I
Veronica yunnanensis,F20071,I
Veronicastrum axillare,F20072,I
Veronicastrum brunonianum,F20073,I
Veronicastrum formosanum,F20075,I
Veronicastrum latifolium,F20076,I
Veronicastrum loshanense,F20078,I
Veronicastrum rhombifolium,F20079,I
Veronicastrum robustum,F20080,I
Veronicastrum stenostachyum,F20082,I
Veronicastrum villosulum,F20084,I
Buddleja alata,F20086,D
Buddleja albiflora,F20087,D
Buddleja alternifolia,F20088,D
Buddleja asiatica,F20089,D
Buddleja brachystachya,F20090,D
Buddleja candida,F20091,D
Buddleja caryopteridifolia,F20092,D
Buddleja colvilei,F20093,D
Buddleja crispa,F20094,D
Buddleja curviflora,F20095,D
Buddleja davidii,F20096,D
Buddleja delavayi,F20097,D
Buddleja fallowiana,F20098,D
Buddleja forrestii,F20099,D
Buddleja lindleyana,F20101,D
Buddleja macrostachya,F20102,D
Buddleja madagascariensis,F20103,D
Buddleja microstachya,F20104,D
Buddleja myriantha,F20105,D
Buddleja nivea,F20106,D
Buddleja officinalis,F20107,D
Buddleja paniculata,F20108,D
Buddleja yunnanensis,F20110,D
Nathaliella alaica,F20112,D
Pentacoelium bontioides,F20114,D
Scrophularia aequilabris,F20115,D
Scrophularia alaschanica,F20116,D
Scrophularia buergeriana,F20117,D
Scrophularia chasmophila,F20118,D
Scrophularia delavayi,F20119,D
Scrophularia dentata,F20120,D
Scrophularia diplodonta,F20121,I
Scrophularia elatior,F20122,D
Scrophularia fargesii,F20123,D
Scrophularia formosana,F20124,D
Scrophularia henryi,F20125,D
Scrophularia hypsophila,F20127,D
Scrophularia incisa,F20128,D
Scrophularia kakudensis,F20130,I
Scrophularia kansuensis,F20131,D
Scrophularia kiriloviana,F20132,D
Scrophularia lhasaensis,F20133,D
Scrophularia lijiangensis,F20134,D
Scrophularia macrocarpa,F20135,D
Scrophularia mandarinorum,F20136,D
Scrophularia mapienensis,F20137,D
Scrophularia modesta,F20138,D
Scrophularia moellendorffii,F20139,D
Scrophularia nankinensis,F20140,D
Scrophularia ningpoensis,F20141,D
Scrophularia pauciflora,F20142,D
Scrophularia przewalskii,F20143,D
Scrophularia souliei,F20144,D
Scrophularia spicata,F20145,D
Scrophularia stylosa,F20146,D
Scrophularia urticifolia,F20149,I
Scrophularia yoshimurae,F20150,D
Scrophularia yunnanensis,F20151,D
Verbascum blattaria,F20152,D
Verbascum chinense,F20154,D
Verbascum phoeniceum,F20155,D
Verbascum songaricum,F20156,I
Verbascum thapsus,F20157,I
Duranta erecta,F20158,I
Glandularia × hybrida,F20160,I
Petrea volubilis,F20162,I
Phyla nodiflora,F20163,I
Stachytarpheta jamaicensis,F20164,I
Verbena officinalis,F20166,I
Wightia speciosissima,F20168,D
Calycanthus chinensis,F20169,D
Chimonanthus campanulatus,F20171,D
Chimonanthus praecox,F20174,D
Hernandia nymphaeifolia,F20177,D
Illigera aromatica,F20178,D
Illigera brevistaminata,F20179,D
