"Grid_ID","Longitude","Latitude","Species_N_All","Species_N_Inf","MDT","So_Pi","Df_Pi","Co_Pi","Sk_Pi","Um_Pi","Ra_Pi","Cp_Pi","Pa_Pi","Ck_Pi","Determinate","Indeterminate","H","Indeterminate_adj","Determinate_adj","H_Rank"
15,82.7055088,34.43489191,21,20,5.376791491,0.1,0,0.1,0.05,0.1,0.2,0.2,0.25,0,0.1,0.9,1.83091089682953,0.767630485965377,0.232369514034623,0.159633027522936
16,98.7809134,40.48714757,3,2,7.967970384,0.5,0.5,0,0,0,0,0,0,0,1,0,0.693147180559945,0.624803515640807,0.375196484359193,0.00825688073394495
17,125.4588282,47.28103723,263,240,7.479697566,0.095833333,0.175,0.0375,0.104166667,0.079166667,0.1875,0.204166667,0.095833333,0.020833333,0.270833333,0.729166667,2.03292095790129,0.723188342887512,0.276811657112488,0.744036697247706
18,119.9286522,28.10377948,1410,1235,8.867206149,0.136842105,0.242105263,0.054251012,0.097165992,0.08097166,0.199190283,0.096356275,0.089068826,0.004048583,0.378947368,0.621052632,1.98826493013047,0.622123665249384,0.377876334750616,0.515596330275229
19,103.795129,23.85947218,347,276,9.446112232,0.155797101,0.22826087,0.057971014,0.094202899,0.101449275,0.213768116,0.061594203,0.083333333,0.003623188,0.384057971,0.615942029,1.9755514003969,0.620859488433665,0.379140511566335,0.44954128440367
20,89.78493788,46.68984837,835,739,7.599298554,0.112313938,0.151556157,0.054127199,0.120433018,0.069012179,0.198917456,0.151556157,0.124492558,0.01759134,0.263870095,0.736129905,2.06643876182117,0.733796692692851,0.266203307307149,0.908256880733945
21,105.4827674,29.34144664,475,424,10.2217963,0.174528302,0.160377358,0.04009434,0.08254717,0.089622642,0.231132075,0.127358491,0.091981132,0.002358491,0.33490566,0.66509434,1.9840063846542,0.665427349719093,0.334572650280907,0.497247706422018
22,126.2289432,51.72051291,24,20,13.81866213,0.2,0.15,0,0.15,0.1,0.2,0.1,0.05,0.05,0.35,0.65,1.97300140639361,0.661888134751047,0.338111865248953,0.439908256880734
23,87.15564442,42.62450755,433,391,7.378508646,0.138107417,0.122762148,0.056265985,0.148337596,0.05370844,0.186700767,0.173913043,0.104859335,0.015345269,0.260869565,0.739130435,2.05105164971003,0.734660337261179,0.265339662738821,0.835779816513761
24,115.5435801,23.89574405,965,851,8.945985167,0.155111633,0.249118684,0.038777908,0.094007051,0.085781434,0.190364277,0.078730905,0.108108108,0,0.404230317,0.595769683,1.95065875098055,0.598094427605178,0.401905572394822,0.369724770642202
25,98.92197195,26.19126014,2049,1758,9.654599518,0.121729238,0.217861206,0.045506257,0.097269625,0.096700796,0.221843003,0.08930603,0.10182025,0.007963595,0.339590444,0.660409556,2.00241826566567,0.66056533246007,0.33943466753993,0.589908256880734
26,129.3457043,46.81027121,155,128,8.896934743,0.09375,0.2578125,0.0625,0.078125,0.0703125,0.1640625,0.125,0.0859375,0.0625,0.3515625,0.6484375,2.07118022589224,0.652332021796659,0.347667978203341,0.934862385321101
27,110.7116053,32.09772655,2153,1863,9.166417527,0.114868492,0.225442834,0.065485776,0.089103596,0.098228663,0.193773484,0.108427268,0.091250671,0.013419216,0.340311326,0.659688674,2.04150805050815,0.659846202869319,0.340153797130681,0.795412844036697
28,104.7720676,23.9116088,1532,1300,9.501789892,0.129230769,0.250769231,0.048461538,0.094615385,0.086153846,0.210769231,0.086153846,0.085384615,0.008461538,0.38,0.62,1.98216091948891,0.621040221197319,0.378959778802681,0.487155963302752
29,134.3074887,47.42965807,15,9,8.581840652,0.111111111,0.333333333,0,0.222222222,0,0.333333333,0,0,0,0.444444444,0.555555556,1.31078367778893,0.642066291304264,0.357933708695736,0.0348623853211009
30,79.64928629,39.26928077,5,4,7.478369042,0,0,0,0,0.25,0.75,0,0,0,0,1,0.562335144618808,0.712718346417251,0.287281653582749,0.00412844036697248
31,128.2970067,47.86458504,337,285,8.530763663,0.098245614,0.196491228,0.066666667,0.080701754,0.105263158,0.178947368,0.126315789,0.098245614,0.049122807,0.294736842,0.705263158,2.11355455505383,0.702234788136369,0.297765211863631,0.997247706422018
32,109.6149763,36.52918106,435,386,7.08709259,0.119170984,0.168393782,0.038860104,0.106217617,0.082901554,0.189119171,0.158031088,0.119170984,0.018134715,0.287564766,0.712435234,2.05703127128839,0.709673452973047,0.290326547026953,0.862385321100917
33,93.10953479,33.60106099,29,24,9.302239735,0.125,0.083333333,0.041666667,0,0.083333333,0.333333333,0.083333333,0.25,0,0.208333333,0.791666667,1.72635345046573,0.727257428071534,0.272742571928466,0.104587155963303
34,123.9039139,52.93442364,523,446,10.13294273,0.159192825,0.213004484,0.022421525,0.118834081,0.053811659,0.246636771,0.082959641,0.080717489,0.022421525,0.372197309,0.627802691,1.9575330207454,0.630270075200669,0.369729924799331,0.387155963302752
35,89.27447396,31.18810681,50,49,7.841843464,0.081632653,0.06122449,0.081632653,0.06122449,0.06122449,0.244897959,0.204081633,0.204081633,0,0.142857143,0.857142857,1.91532137804585,0.790422931877503,0.209577068122497,0.244036697247706
36,80.89374304,43.13304567,1046,919,7.964434874,0.108813928,0.139281828,0.04570185,0.114254625,0.084874864,0.211099021,0.188248096,0.089227421,0.018498368,0.248095756,0.751904244,2.04630279898628,0.749560019589886,0.250439980410114,0.811926605504587
37,97.11840787,42.66734936,81,69,7.098279461,0.144927536,0.188405797,0.072463768,0.115942029,0.014492754,0.202898551,0.188405797,0.072463768,0,0.333333333,0.666666667,1.92408841401677,0.667781918096371,0.332218081903629,0.274770642201835
38,114.0240155,33.80819219,97,85,7.996550902,0.141176471,0.176470588,0.023529412,0.164705882,0.070588235,0.235294118,0.105882353,0.070588235,0.011764706,0.317647059,0.682352941,1.97249231453341,0.679497572658025,0.320502427341975,0.437614678899083
39,113.3852141,44.41915882,94,89,8.281629558,0.157303371,0.191011236,0,0.146067416,0.101123596,0.123595506,0.168539326,0.112359551,0,0.348314607,0.651685393,1.92398194207116,0.65612399666935,0.34387600333065,0.273394495412844
40,116.6586061,39.01579687,828,734,7.625626525,0.09400545,0.197547684,0.039509537,0.13760218,0.0626703,0.18119891,0.147138965,0.129427793,0.010899183,0.291553134,0.708446866,2.02219235574323,0.707090500496602,0.292909499503398,0.681651376146789
41,82.06581923,42.58509285,125,109,8.394398269,0.137614679,0.146788991,0.055045872,0.073394495,0.128440367,0.201834862,0.174311927,0.082568807,0,0.28440367,0.71559633,2.00293173444781,0.706588339640964,0.293411660359036,0.593577981651376
42,116.580763,38.1329525,75,65,6.031072519,0.061538462,0.092307692,0.046153846,0.215384615,0.030769231,0.292307692,0.153846154,0.107692308,0,0.153846154,0.846153846,1.85875295264457,0.794250575233354,0.205749424766646,0.177064220183486
43,131.9047334,46.43968917,272,233,8.565682478,0.141630901,0.141630901,0.060085837,0.193133047,0.107296137,0.154506438,0.098712446,0.068669528,0.034334764,0.283261802,0.716738198,2.09649763732581,0.711901928242525,0.288098071757475,0.988073394495413
44,106.2475538,35.58911285,1027,902,7.437795392,0.090909091,0.218403548,0.053215078,0.083148559,0.098669623,0.21286031,0.131929047,0.085365854,0.025498891,0.309312639,0.690687361,2.04186042102377,0.69009764205517,0.30990235794483,0.797247706422018
45,103.8471958,23.04680653,4435,3785,9.944875226,0.122324967,0.263936592,0.042800528,0.092470277,0.081638045,0.227741083,0.069749009,0.099075297,0.000264201,0.386261559,0.613738441,1.92207430111196,0.61414541866921,0.38585458133079,0.268807339449541
46,86.27898456,45.2250863,247,215,7.812665228,0.102325581,0.144186047,0.041860465,0.08372093,0.088372093,0.209302326,0.204651163,0.093023256,0.03255814,0.246511628,0.753488372,2.05183447941577,0.744154204747972,0.255845795252028,0.838532110091743
47,101.9132689,42.22662063,68,60,6.385884468,0.15,0.2,0.066666667,0.116666667,0.016666667,0.183333333,0.183333333,0.083333333,0,0.35,0.65,1.93498897916172,0.656440156460487,0.343559843539513,0.312844036697248
48,109.6545521,27.6407031,1699,1493,8.610688144,0.130609511,0.235766912,0.046215673,0.102478232,0.083724046,0.202277294,0.090421969,0.103148024,0.005358339,0.366376423,0.633623577,1.9926218715931,0.634287238146146,0.365712761853854,0.540366972477064
49,101.9481755,33.61007448,824,721,7.478200325,0.119278779,0.122052705,0.047156727,0.13592233,0.088765603,0.20110957,0.188626907,0.088765603,0.008321775,0.241331484,0.758668516,2.03259804456766,0.755457351741288,0.244542648258712,0.741284403669725
50,98.11801771,29.71562989,816,712,8.704682275,0.139044944,0.146067416,0.053370787,0.120786517,0.08988764,0.200842697,0.139044944,0.088483146,0.02247191,0.28511236,0.71488764,2.08017519857167,0.713253201789056,0.286746798210944,0.958715596330275
51,91.70963797,27.49803773,227,198,7.834909612,0.156565657,0.111111111,0.04040404,0.04040404,0.181818182,0.207070707,0.232323232,0.025252525,0.005050505,0.267676768,0.732323232,1.88849211758866,0.724848065826351,0.275151934173649,0.202752293577982
52,112.1248076,44.48246957,93,88,8.365774542,0.159090909,0.193181818,0,0.147727273,0.102272727,0.125,0.170454545,0.102272727,0,0.352272727,0.647727273,1.9204798303047,0.6531411565762,0.3468588434238,0.259633027522936
53,100.4011551,28.13216214,1130,981,7.650850809,0.155963303,0.139653415,0.06116208,0.06116208,0.133537207,0.195718654,0.194699286,0.038735984,0.019367992,0.295616718,0.704383282,2.01552196641509,0.703469148843081,0.296530851156919,0.644036697247706
54,95.19326055,44.22716121,17,16,7.184517983,0.0625,0.0625,0,0.3125,0.125,0.375,0,0.0625,0,0.125,0.875,1.51108617607361,0.746156914177914,0.253843085822086,0.0591743119266055
55,109.6648858,24.94262827,3306,2874,9.207640643,0.148573417,0.237647878,0.043493389,0.096033403,0.090118302,0.19763396,0.07585247,0.107167711,0.003479471,0.386221295,0.613778705,1.97811818759835,0.614313094521664,0.385686905478336,0.46697247706422
56,80.50172706,31.13022978,111,108,8.779531829,0.111111111,0.074074074,0.064814815,0.148148148,0.046296296,0.287037037,0.148148148,0.12037037,0,0.185185185,0.814814815,1.93542977371922,0.785729476168343,0.214270523831657,0.31651376146789
57,85.36810336,40.48019609,10,7,11.45620915,0.142857143,0,0,0.285714286,0.142857143,0.428571429,0,0,0,0.142857143,0.857142857,1.27703425974317,0.708688710363286,0.291311289636714,0.0311926605504587
58,112.6341656,24.91126084,2153,1858,9.306641148,0.138320775,0.243272336,0.04467169,0.094187298,0.085575888,0.209903122,0.08073197,0.101184069,0.002152853,0.381593111,0.618406889,1.96512310618822,0.619162285422632,0.380837714577368,0.415596330275229
59,128.6125848,44.17405979,97,86,7.385174623,0.11627907,0.093023256,0.11627907,0.093023256,0.139534884,0.23255814,0.127906977,0.069767442,0.011627907,0.209302326,0.790697674,2.05686245404811,0.76177257353447,0.23822742646553,0.860550458715596
60,102.1219314,31.84106769,2380,2071,7.990184521,0.110091743,0.172380493,0.063737325,0.076291647,0.126026074,0.220666345,0.12747465,0.07532593,0.028005794,0.282472236,0.717527764,2.06972395665503,0.716917574965722,0.283082425034278,0.927522935779816
61,98.16106997,36.86844818,326,297,6.589828537,0.104377104,0.090909091,0.047138047,0.171717172,0.047138047,0.195286195,0.185185185,0.131313131,0.026936027,0.195286195,0.804713805,2.039586118948,0.793429897220843,0.206570102779157,0.78256880733945
62,120.8775306,37.60447644,351,302,7.153332492,0.079470199,0.235099338,0.062913907,0.119205298,0.086092715,0.221854305,0.089403974,0.092715232,0.013245033,0.314569537,0.685430463,2.00799655373318,0.684201788698248,0.315798211301752,0.615596330275229
63,103.7202106,39.03440857,31,26,8.458152018,0.153846154,0.153846154,0.038461538,0.115384615,0,0.307692308,0.115384615,0,0.115384615,0.307692308,0.692307692,1.81142738902576,0.681193307443535,0.318806692556465,0.147706422018349
64,102.3675403,40.73919738,58,56,5.573031346,0.089285714,0.125,0.017857143,0.142857143,0.035714286,0.196428571,0.321428571,0.071428571,0,0.214285714,0.785714286,1.81751054075811,0.748002671775582,0.251997328224418,0.152293577981651
65,110.4948497,19.53976065,1434,1252,11.20920684,0.130191693,0.279552716,0.037539936,0.107028754,0.07428115,0.199680511,0.062300319,0.10942492,0,0.409744409,0.590255591,1.91398076475477,0.591969234752031,0.408030765247969,0.238532110091743
66,105.3361369,32.00930861,500,429,9.418959652,0.128205128,0.205128205,0.067599068,0.095571096,0.102564103,0.212121212,0.086247086,0.095571096,0.006993007,0.333333333,0.666666667,2.02773707909205,0.666902006155347,0.333097993844653,0.713761467889908
67,87.08358827,38.96983271,90,82,5.510450853,0.109756098,0.036585366,0.048780488,0.134146341,0.073170732,0.219512195,0.243902439,0.134146341,0,0.146341464,0.853658536,1.91816284022786,0.807955509052449,0.192044490947551,0.254128440366972
68,121.8112236,29.43811405,197,184,9.625893401,0.141304348,0.217391304,0.054347826,0.086956522,0.054347826,0.239130435,0.070652174,0.135869565,0,0.358695652,0.641304348,1.93776515586352,0.645087801697639,0.354912198302361,0.322018348623853
69,97.17531774,35.88091717,43,37,4.577500426,0.081081081,0.081081081,0,0.189189189,0.081081081,0.216216216,0.27027027,0.027027027,0.054054054,0.162162162,0.837837838,1.86614603972675,0.766857079207103,0.233142920792897,0.179816513761468
70,116.0829087,31.94573561,796,678,8.147947787,0.116519174,0.234513274,0.050147493,0.075221239,0.110619469,0.212389381,0.087020649,0.103244838,0.010324484,0.351032448,0.648967552,2.00201309463513,0.649804515356887,0.350195484643113,0.587155963302752
71,118.9068197,28.18854848,2016,1722,9.263328501,0.134146341,0.228222997,0.049941928,0.105110337,0.083623693,0.206736353,0.084204413,0.103368177,0.004645761,0.362369338,0.637630662,1.99441511688178,0.638144941696662,0.361855058303338,0.54954128440367
72,81.3285686,35.03916169,41,37,8.615748742,0.135135135,0.027027027,0.162162162,0.081081081,0.054054054,0.162162162,0.216216216,0.162162162,0,0.162162162,0.837837838,1.94560646389217,0.766857079207103,0.233142920792897,0.340366972477064
73,87.67455356,29.06409049,290,255,6.30665526,0.11372549,0.117647059,0.078431373,0.164705882,0.058823529,0.152941176,0.180392157,0.121568627,0.011764706,0.231372549,0.768627451,2.06694640078001,0.759152648433232,0.240847351566768,0.911926605504587
74,90.74745869,34.15179009,70,65,4.382534462,0.092307692,0.092307692,0.076923077,0.184615385,0,0.276923077,0.184615385,0.092307692,0,0.184615384,0.815384616,1.83649017321014,0.772578521275434,0.227421478724566,0.164220183486239
75,92.73020013,35.34631041,50,43,7.473330075,0.162790698,0.046511628,0.11627907,0.139534884,0.093023256,0.23255814,0.069767442,0.139534884,0,0.209302326,0.790697674,1.98392491213028,0.744076281986326,0.255923718013674,0.496330275229358
76,99.53753001,35.20904137,789,698,7.11847091,0.12034384,0.113180516,0.055873926,0.131805158,0.065902579,0.176217765,0.203438395,0.124641834,0.008595989,0.233524356,0.766475644,2.03921247368417,0.762868949201484,0.237131050798516,0.777064220183486
77,126.5418811,46.24969458,607,537,7.83811153,0.100558659,0.176908752,0.04283054,0.137802607,0.067039106,0.169459963,0.17877095,0.094972067,0.031657356,0.277467411,0.722532589,2.06811972514257,0.720021612537622,0.279978387462378,0.921100917431193
78,122.3469284,52.17380117,541,458,9.995980829,0.148471616,0.209606987,0.021834061,0.126637555,0.058951965,0.242358079,0.087336245,0.07860262,0.026200873,0.358078603,0.641921397,1.97455109818296,0.643533955464925,0.356466044535075,0.446788990825688
79,111.7680532,31.19797115,755,650,9.388654758,0.112307692,0.253846154,0.061538462,0.083076923,0.093846154,0.224615385,0.089230769,0.08,0.001538462,0.366153846,0.633846154,1.95699528968048,0.63532689156003,0.36467310843997,0.384403669724771
80,115.5289225,48.02717493,108,96,8.285535776,0.104166667,0.15625,0.041666667,0.083333333,0.114583333,0.1875,0.197916667,0.09375,0.020833333,0.260416667,0.739583333,2.05042621672384,0.72431679770977,0.27568320229023,0.831651376146789
81,106.0696559,39.12539055,596,537,8.113915921,0.121042831,0.180633147,0.033519553,0.145251397,0.059590317,0.180633147,0.150837989,0.108007449,0.020484171,0.301675978,0.698324022,2.04127639037716,0.696983597388744,0.303016402611256,0.791743119266055
82,104.5011321,28.40407196,1824,1574,9.506197419,0.129606099,0.241423126,0.054637865,0.087674714,0.097839898,0.205844981,0.084498094,0.085768742,0.01270648,0.371029225,0.628970775,2.00788673202071,0.629680145666941,0.370319854333059,0.613761467889908
83,80.7778359,39.53089468,3,2,5.308227386,0,0,0,0,0,1,0,0,0,0,1,0,0.693098461452985,0.306901538547015,0.0018348623853211
84,114.4147408,40.88308547,634,566,7.500910961,0.093639576,0.183745583,0.037102473,0.136042403,0.067137809,0.204946996,0.159010601,0.097173145,0.021201413,0.277385159,0.722614841,2.03347053316338,0.720222819379075,0.279777180620925,0.744954128440367
85,117.7233348,26.47622415,1705,1497,8.889573696,0.150300601,0.217100868,0.043420174,0.106212425,0.070808283,0.197060788,0.091516366,0.120240481,0.003340013,0.367401469,0.632598531,1.99094062770328,0.633278798933785,0.366721201066215,0.527522935779816
86,128.0561357,46.97864493,96,87,7.367961165,0.068965517,0.126436782,0.068965517,0.045977011,0.103448276,0.287356322,0.149425287,0.114942529,0.034482759,0.195402299,0.804597701,2.01376920641931,0.772607155709286,0.227392844290714,0.634862385321101
87,134.5027516,48.36024213,15,9,8.581840652,0.111111111,0.333333333,0,0.222222222,0,0.333333333,0,0,0,0.444444444,0.555555556,1.31078367778893,0.642066291304264,0.357933708695736,0.0348623853211009
88,98.24192442,28.82977133,953,815,9.048558225,0.171779141,0.14601227,0.056441718,0.063803681,0.137423313,0.218404908,0.133742331,0.057668712,0.014723926,0.317791411,0.682208589,2.02209621813122,0.681832616743543,0.318167383256457,0.680733944954128
89,122.3764891,39.67269698,475,399,6.829805673,0.110275689,0.187969925,0.05764411,0.095238095,0.082706767,0.20802005,0.157894737,0.07518797,0.025062657,0.298245614,0.701754386,2.05691035562447,0.699760465800046,0.300239534199954,0.861467889908257
90,115.7710042,27.49371702,638,562,9.139250233,0.167259786,0.245551601,0.046263345,0.083629893,0.071174377,0.215302491,0.069395018,0.096085409,0.005338078,0.412811387,0.587188613,1.95049850331234,0.591050786662765,0.408949213337235,0.368807339449541
91,101.2426346,29.99318741,1878,1630,8.089441885,0.120858896,0.136196319,0.060122699,0.09202454,0.119018405,0.228834356,0.141717791,0.077300613,0.02392638,0.257055215,0.742944785,2.07040291775673,0.741753772255641,0.258246227744359,0.931192660550459
92,124.3201455,41.98206847,661,564,7.275576652,0.088652482,0.196808511,0.042553191,0.120567376,0.069148936,0.207446809,0.138297872,0.115248227,0.021276596,0.285460993,0.714539007,2.03968294963608,0.712511552572297,0.287488447427703,0.785321100917431
93,92.22630434,32.57354482,116,106,7.930888191,0.188679245,0.08490566,0.066037736,0.169811321,0.066037736,0.169811321,0.198113208,0.056603774,0,0.273584905,0.726415095,1.96842664206339,0.714989639638878,0.285010360361122,0.424770642201835
94,96.94450568,30.48814328,704,602,7.992543822,0.144518272,0.117940199,0.059800664,0.139534884,0.073089701,0.189368771,0.15282392,0.094684385,0.028239203,0.262458471,0.737541529,2.09222814909587,0.73463915322766,0.26536084677234,0.984403669724771
95,124.8678795,44.62331273,15,15,6.833248579,0,0.133333333,0,0.266666667,0.2,0.266666667,0.066666667,0.066666667,0,0.133333333,0.866666667,1.65655112771156,0.740153730589367,0.259846269410633,0.0779816513761468
96,115.8918519,29.27956939,2534,2180,8.637720609,0.132110092,0.211009174,0.051834862,0.101376147,0.078899083,0.206422018,0.100917431,0.11146789,0.005963303,0.343119266,0.656880734,2.01379007470441,0.657050348882407,0.342949651117593,0.635779816513761
97,122.8400159,47.53699368,652,559,8.26164816,0.1019678,0.17352415,0.04293381,0.123434705,0.075134168,0.203935599,0.123434705,0.109123435,0.046511628,0.27549195,0.72450805,2.09151004639765,0.721999361734019,0.278000638265981,0.98256880733945
98,114.1621593,36.46185179,1265,1115,8.198838031,0.113901345,0.206278027,0.035874439,0.108520179,0.07264574,0.220627803,0.114798206,0.115695067,0.011659193,0.320179372,0.679820628,2.00728431000198,0.679600437025126,0.320399562974874,0.609174311926606
99,96.8046907,31.37015772,916,787,8.153504568,0.114358323,0.127064803,0.059720457,0.111817027,0.097839898,0.198221093,0.163913596,0.104193139,0.022871665,0.241423126,0.758576874,2.09007514876305,0.755629054070377,0.244370945929623,0.979816513761468
100,96.21434544,34.88547131,20,18,3.805334908,0.277777778,0,0,0.111111111,0.055555556,0.111111111,0.333333333,0.111111111,0,0.277777778,0.722222222,1.61500345498356,0.691120413672013,0.308879586327987,0.0752293577981651
101,106.2046056,36.47329983,268,244,7.158109313,0.094262295,0.18852459,0.049180328,0.139344262,0.094262295,0.147540984,0.163934426,0.106557377,0.016393443,0.282786885,0.717213115,2.06732018037272,0.712525180080727,0.287474819919273,0.913761467889908
102,107.7306127,23.10776451,1025,869,10.23870012,0.13118527,0.285385501,0.044879171,0.098964327,0.073647871,0.203682394,0.069044879,0.092059839,0.001150748,0.416570771,0.583429229,1.92064629067822,0.58608295468681,0.41391704531319,0.261467889908257
103,90.52542535,30.4952963,225,197,7.699620809,0.14213198,0.111675127,0.055837563,0.126903553,0.035532995,0.162436548,0.197969543,0.16751269,0,0.253807107,0.746192893,1.97892972992312,0.736997122436485,0.263002877563515,0.473394495412844
104,114.802674,28.43547254,1099,956,8.893794503,0.134937238,0.240585774,0.055439331,0.09623431,0.091004184,0.201882845,0.073221757,0.10460251,0.00209205,0.375523012,0.624476988,1.98029425622859,0.625756898282463,0.374243101717537,0.479816513761468
105,121.2240966,45.86161369,64,59,9.694069659,0.033898305,0.169491525,0.050847458,0.203389831,0.050847458,0.118644068,0.254237288,0.084745763,0.033898305,0.20338983,0.79661017,1.96739665225973,0.756764266980221,0.243235733019779,0.422935779816514
106,116.9892775,42.55326162,624,543,7.124299373,0.092081031,0.178637201,0.049723757,0.103130755,0.079189687,0.202578269,0.186003683,0.08839779,0.020257827,0.270718232,0.729281768,2.04137908216301,0.72647430147052,0.27352569852948,0.794495412844037
107,125.9190052,43.60474601,199,168,6.854929174,0.125,0.172619048,0.06547619,0.083333333,0.071428571,0.196428571,0.178571429,0.101190476,0.005952381,0.297619048,0.702380952,2.02685458181909,0.697940904931985,0.302059095068015,0.706422018348624
108,81.95074146,33.33912156,36,34,11.18665774,0.117647059,0.029411765,0.088235294,0.088235294,0.088235294,0.205882353,0.205882353,0.176470588,0,0.147058824,0.852941176,1.95500796775677,0.771761582291131,0.228238417708869,0.378899082568807
109,116.7185668,26.54153667,1767,1536,9.449729817,0.139973958,0.244791667,0.046223958,0.106770833,0.071614583,0.203776042,0.088541667,0.095052083,0.003255208,0.384765625,0.615234375,1.97064112987675,0.616200736751552,0.383799263248448,0.431192660550459
110,99.65385683,34.32843157,498,434,7.704981168,0.142857143,0.115207373,0.057603687,0.108294931,0.066820276,0.205069124,0.209677419,0.080645161,0.013824885,0.258064516,0.741935484,2.02758719479072,0.737716162296172,0.262283837703828,0.711926605504587
111,125.2640097,52.70399081,25,20,4.964891751,0.15,0.15,0.05,0.05,0.1,0.15,0.2,0.1,0.05,0.3,0.7,2.08546843531737,0.683036604993913,0.316963395006087,0.970642201834862
112,108.6880769,24.03093493,417,373,10.31572523,0.150134048,0.249329759,0.016085791,0.120643432,0.067024129,0.198391421,0.107238606,0.08847185,0.002680965,0.399463807,0.600536193,1.92448872446306,0.605312129990963,0.394687870009037,0.276146788990826
113,78.51173462,36.20055092,40,37,6.136623333,0.135135135,0,0.108108108,0.135135135,0.081081081,0.27027027,0.162162162,0.081081081,0.027027027,0.135135135,0.864864865,1.93503580235411,0.782412869552142,0.217587130447858,0.315596330275229
114,95.01686722,29.35456417,2652,2252,9.076768903,0.135435169,0.184724689,0.052397869,0.091030195,0.108348135,0.226909414,0.098134991,0.085257549,0.017761989,0.320159858,0.679840142,2.04208724561591,0.679729557648258,0.320270442351742,0.8
115,97.45950658,34.12465904,222,196,6.853736034,0.163265306,0.096938776,0.066326531,0.102040816,0.086734694,0.193877551,0.214285714,0.076530612,0,0.260204082,0.739795918,1.99187662641585,0.731340655056228,0.268659344943772,0.53394495412844
116,115.1212865,33.76738811,241,220,6.065008907,0.090909091,0.163636364,0.022727273,0.122727273,0.077272727,0.181818182,0.227272727,0.104545455,0.009090909,0.254545455,0.745454545,1.98099241667491,0.737195542129429,0.262804457870571,0.48256880733945
