FlowerID,Inflorescence,OccNum_All,OccNum_Beetles,OccNum_Flies,OccNum_Bees,OccNum_Wasps,OccNum_Butterflies,OccNum_Moths
F10107,D,0.03649635,0.008928571,0.029411765,0.032786885,0,0.0999181,0.002239642
F10108,D,0.166514599,0.071428571,0.101518027,0.196721311,0.066666667,0.321867322,0.111982083
F10109,D,0.059990876,0.044642857,0.025616698,0.147540984,0.013333333,0.154791155,0.017357223
F10110,D,0.004790146,0,0.001897533,0,0,0.013104013,0.001679731
F10115,D,0.273494526,0.294642857,0.287476281,0.508196721,0.333333333,0.363636364,0.18924972
F10116,D,0.308850365,0.446428571,0.332068311,0.508196721,0.253333333,0.368550369,0.24356103
F10117,D,0.340556569,0.294642857,0.35199241,0.540983607,0.386666667,0.463554464,0.241881299
F10118,D,0.463731752,0.508928571,0.468690702,0.62295082,0.4,0.607698608,0.359462486
F10119,D,0.071167883,0.008928571,0.054079696,0.049180328,0.013333333,0.127764128,0.052071669
F10120,D,0.580748175,0.607142857,0.4943074,0.68852459,0.446666667,0.672399672,0.575027996
F10121,D,0.723083942,0.714285714,0.593927894,0.704918033,0.426666667,0.822276822,0.757558791
F10122,D,0.108804745,0.026785714,0.038899431,0.098360656,0.013333333,0.252252252,0.065509518
F10123,D,0.648038321,0.678571429,0.515180266,0.606557377,0.393333333,0.744471744,0.681410974
F10124,D,0.156706204,0.053571429,0.193548387,0.131147541,0.113333333,0.1998362,0.116461366
F10125,D,0.079379562,0.044642857,0.135673624,0.06557377,0.046666667,0.099099099,0.038073908
F10126,D,0.278968978,0.232142857,0.225806452,0.344262295,0.146666667,0.393939394,0.24356103
F10127,D,0.120437956,0.026785714,0.179316888,0.081967213,0.046666667,0.141687142,0.084546473
F10129,D,0.158074818,0.071428571,0.126185958,0.196721311,0.113333333,0.248976249,0.122620381
F10130,D,0.24270073,0.116071429,0.214421252,0.344262295,0.06,0.386568387,0.180851064
F10132,D,0.140282847,0.044642857,0.160341556,0.196721311,0.086666667,0.244881245,0.065509518
F10133,I,0.197992701,0.258928571,0.144212524,0.295081967,0.113333333,0.338247338,0.133818589
F10134,D,0.148266423,0.044642857,0.109108159,0.229508197,0.06,0.236691237,0.12206047
F10135,D,0.04379562,0,0.029411765,0.098360656,0.006666667,0.108927109,0.011758119
F10136,D,0.070711679,0.071428571,0.133776091,0.131147541,0.066666667,0.072891073,0.030235162
F10137,D,0.184990876,0.071428571,0.212523719,0.196721311,0.073333333,0.235872236,0.150055991
F10138,D,0.385948905,0.285714286,0.394686907,0.639344262,0.326666667,0.533988534,0.282194849
F10139,D,0.026916058,0.008928571,0.013282732,0.06557377,0,0.05978706,0.014557671
F10140,D,0.254562044,0.339285714,0.225806452,0.37704918,0.126666667,0.333333333,0.218924972
F10141,D,0.540145985,0.410714286,0.388994307,0.508196721,0.353333333,0.638001638,0.587346025
F10142,D,0.089187956,0.008928571,0.075901328,0.06557377,0.006666667,0.148239148,0.069428891
F10143,D,0.085538321,0.053571429,0.141366224,0.131147541,0.06,0.108927109,0.039193729
F10147,D,0.373175182,0.455357143,0.419354839,0.508196721,0.253333333,0.493038493,0.264277716
F10148,D,0.218293796,0.223214286,0.186907021,0.31147541,0.066666667,0.307944308,0.184770437
F10151,D,0.084169708,0.017857143,0.039848197,0.147540984,0.026666667,0.158886159,0.066069429
F10152,D,0.304972628,0.366071429,0.344402277,0.475409836,0.22,0.437346437,0.18868981
F10154,D,0.248631387,0.214285714,0.225806452,0.37704918,0.093333333,0.42014742,0.155655095
F10155,D,0.003877737,0,0.0028463,0.016393443,0,0.004914005,0.003919373
F10156,D,0.069571168,0.008928571,0.040796964,0.180327869,0.046666667,0.127764128,0.048712206
F10157,D,0.459854015,0.267857143,0.260910816,0.262295082,0.22,0.534807535,0.564949608
F10158,D,0.044936131,0.008928571,0.026565465,0.081967213,0.006666667,0.079443079,0.036394177
F10159,D,0.116560219,0.116071429,0.157495256,0.147540984,0.12,0.158886159,0.062150056
F10160,D,0.030793796,0.026785714,0.018975332,0.114754098,0,0.062244062,0.016237402
F10162,D,0.109260949,0.044642857,0.144212524,0.147540984,0.066666667,0.152334152,0.065509518
F10163,D,0.034899635,0.008928571,0.017077799,0.081967213,0.006666667,0.049140049,0.038073908
F10164,D,0.234489051,0.133928571,0.222011385,0.360655738,0.093333333,0.425061425,0.125419933
F10165,D,0.137773723,0.116071429,0.059772296,0.131147541,0.06,0.253890254,0.112541993
F10166,D,0.024863139,0,0.055028463,0.098360656,0.013333333,0.023751024,0.007838746
F10167,I,0.063412409,0,0.068311195,0.06557377,0.006666667,0.093366093,0.048712206
F10168,D,0.197992701,0.303571429,0.204933586,0.295081967,0.066666667,0.233415233,0.170772676
