Grid_ID,H_Rank,H_Rank_NoSo,H_Rank_NoDf,H_Rank_NoCo,H_Rank_NoSk,H_Rank_NoUm,H_Rank_NoRa,H_Rank_NoCp,H_Rank_NoPa,H_Rank_NoCk
888,0.6651376146788991,0.6522935779816513,0.7330275229357798,0.6972477064220184,0.6422018348623854,0.6981651376146789,0.6688073394495413,0.6357798165137615,0.6266055045871559,0.6201834862385321
889,0.1963302752293578,0.19908256880733946,0.23211009174311928,0.3137614678899083,0.1779816513761468,0.1596330275229358,0.1761467889908257,0.1871559633027523,0.17339449541284405,0.23302752293577983
890,0.7220183486238532,0.7027522935779816,0.6284403669724771,0.634862385321101,0.7201834862385321,0.6724770642201835,0.9963302752293578,0.7981651376146789,0.6963302752293578,0.47889908256880737
891,0.5559633027522936,0.5724770642201835,0.48256880733944957,0.44311926605504587,0.5467889908256881,0.591743119266055,0.7495412844036697,0.6944954128440367,0.6220183486238532,0.2853211009174312
892,0.6967889908256881,0.6995412844036697,0.6224770642201835,0.7894495412844037,0.6674311926605505,0.6344036697247707,0.6270642201834863,0.7426605504587156,0.8555045871559633,0.55
893,0.43027522935779816,0.41926605504587156,0.3174311926605505,0.5788990825688073,0.5100917431192661,0.5807339449541284,0.5596330275229358,0.4963302752293578,0.42477064220183486,0.20642201834862386
894,0.5045871559633027,0.48256880733944957,0.501834862385321,0.42660550458715596,0.536697247706422,0.4504587155963303,0.591743119266055,0.46055045871559636,0.5266055045871559,0.5568807339449541
895,0.3284403669724771,0.39357798165137614,0.5467889908256881,0.3192660550458716,0.2944954128440367,0.5357798165137615,0.2853211009174312,0.2926605504587156,0.2743119266055046,0.23027522935779818
896,0.7788990825688074,0.7706422018348624,0.7972477064220184,0.7275229357798165,0.7660550458715596,0.8128440366972477,0.763302752293578,0.7256880733944954,0.7376146788990826,0.8110091743119267
897,0.5688073394495413,0.5440366972477064,0.6357798165137615,0.5284403669724771,0.5614678899082569,0.5082568807339449,0.5376146788990825,0.544954128440367,0.5495412844036697,0.6623853211009174
898,0.3444954128440367,0.4087155963302752,0.2426605504587156,0.8068807339449541,0.3995412844036697,0.2463302752293578,0.5720183486238533,0.268348623853211,0.37477064220183487,0.1720183486238532
899,0.8486238532110092,0.8477064220183487,0.9412844036697248,0.7678899082568807,0.8495412844036697,0.8311926605504587,0.8660550458715597,0.8229357798165138,0.8201834862385321,0.828440366972477
900,0.45871559633027525,0.5357798165137615,0.3779816513761468,0.4055045871559633,0.6192660550458715,0.6752293577981652,0.3651376146788991,0.4055045871559633,0.40642201834862385,0.42293577981651376
901,0.38807339449541284,0.39541284403669724,0.3055045871559633,0.3587155963302752,0.3798165137614679,0.3119266055045872,0.4889908256880734,0.5706422018348624,0.5211009174311927,0.24036697247706423
902,0.8192660550458716,0.8036697247706422,0.8146788990825689,0.7587155963302752,0.8385321100917431,0.7614678899082569,0.8440366972477065,0.7798165137614679,0.8733944954128441,0.8055045871559633
903,0.5110091743119266,0.4871559633027523,0.5678899082568807,0.5376146788990825,0.5394495412844037,0.43853211009174314,0.5256880733944954,0.4944954128440367,0.4798165137614679,0.5155963302752293
904,0.12568807339449542,0.11651376146788991,0.10091743119266056,0.11834862385321102,0.24954128440366974,0.12660550458715597,0.13027522935779817,0.12018348623853212,0.11009174311926606,0.13944954128440368
905,0.8770642201834863,0.8688073394495412,0.8871559633027523,0.8926605504587156,0.865137614678899,0.8339449541284404,0.8880733944954129,0.8357798165137614,0.8587155963302753,0.8788990825688073
906,0.41651376146788993,0.40091743119266054,0.563302752293578,0.42844036697247706,0.4091743119266055,0.3522935779816514,0.3623853211009174,0.40458715596330275,0.3944954128440367,0.4889908256880734
907,0.9963302752293578,0.9954128440366973,0.9871559633027523,0.9752293577981651,0.9899082568807339,0.9990825688073395,0.9834862385321101,0.9899082568807339,0.9889908256880734,0.9825688073394495
908,0.22385321100917432,0.25596330275229356,0.29357798165137616,0.16238532110091744,0.3688073394495413,0.16238532110091744,0.20275229357798166,0.1944954128440367,0.3477064220183486,0.2743119266055046
909,0.926605504587156,0.9256880733944954,0.8669724770642202,0.9559633027522936,0.9091743119266055,0.9192660550458716,0.8981651376146789,0.9614678899082569,0.9137614678899083,0.8192660550458716
910,0.44862385321100917,0.43486238532110094,0.45137614678899085,0.4706422018348624,0.43211009174311926,0.43302752293577984,0.47522935779816516,0.44770642201834865,0.41743119266055045,0.4972477064220184
911,0.6376146788990825,0.6247706422018349,0.7091743119266055,0.5412844036697247,0.6486238532110091,0.5541284403669725,0.8642201834862385,0.5908256880733945,0.6009174311926605,0.6458715596330276
912,0.37339449541284403,0.3623853211009174,0.2853211009174312,0.41559633027522935,0.38073394495412843,0.3495412844036697,0.5623853211009174,0.3486238532110092,0.3211009174311927,0.3311926605504587
913,0.48623853211009177,0.4651376146788991,0.6266055045871559,0.46972477064220186,0.4522935779816514,0.40458715596330275,0.39541284403669724,0.44954128440366975,0.4688073394495413,0.7128440366972477
914,0.6211009174311927,0.6064220183486239,0.655045871559633,0.591743119266055,0.6082568807339449,0.5972477064220183,0.6596330275229357,0.6605504587155964,0.5678899082568807,0.6110091743119266
915,0.6908256880733945,0.6743119266055045,0.5981651376146789,0.6330275229357798,0.6697247706422018,0.726605504587156,0.6633027522935779,0.6779816513761467,0.6587155963302752,0.9394495412844037
916,0.6605504587155964,0.6412844036697247,0.5807339449541284,0.7385321100917431,0.6302752293577981,0.5981651376146789,0.6522935779816513,0.7018348623853211,0.6522935779816513,0.7559633027522936
917,0.46422018348623856,0.44862385321100917,0.47155963302752296,0.42018348623853213,0.44954128440366975,0.4091743119266055,0.5119266055045871,0.48256880733944957,0.4596330275229358,0.5220183486238532
