FlowerID,D.R1,I.R1,D.R2,I.R2
F07412,0,0.17548754772712,0,0.82451245227288
F07416,0,0.17548754772712,0,0.82451245227288
F07419,0,0.17548754772712,0,0.82451245227288
F07418,0,0.17548754772712,0,0.82451245227288
F07424,0,0.17548754772712,0,0.82451245227288
F07438,0,0.17548754772712,0,0.82451245227288
F07433,0,0.17548754772712,0,0.82451245227288
F07449,0,0.17548754772712,0,0.82451245227288
F07467,0,0.17548754772712,0,0.82451245227288
F07504,0,0.17548754772712,0,0.82451245227288
F07500,0,0.17548754772712,0,0.82451245227288
F07498,0,0.17548754772712,0,0.82451245227288
F07497,0,0.17548754772712,0,0.82451245227288
F07495,0,0.17548754772712,0,0.82451245227288
F07517,0,0.17548754772712,0,0.82451245227288
F07551,0,0.17548754772712,0,0.82451245227288
F07570,0,0.17548754772712,0,0.82451245227288
